product_id,category
0,"['Literature', 'Fiction', 'Dramas', 'Plays']"
33,"['Christian', 'Bibles', 'Literature', 'Fiction']"
46,['Childrens']
64,"['Mystery', 'Thriller', 'Suspense']"
72,"['Literature', 'Fiction', 'Contemporary']"
121,"['History', 'Europe']"
122,"['History', 'Military']"
150,"['Literature', 'Fiction']"
184,"['Mystery', 'Thriller', 'Suspense']"
197,"['Literature', 'Fiction', 'Action', 'Adventure']"
204,"['Science', 'Fiction', 'Fantasy']"
209,"['Literature', 'Fiction']"
261,"['Literature', 'Fiction']"
335,"['Literature', 'Fiction', 'Poetry']"
346,"['Literature', 'Fiction']"
349,"['Science', 'Math', 'Mathematics']"
392,"['Literature', 'Fiction']"
402,"['Literature', 'Fiction', 'Action', 'Adventure']"
404,"['Literature', 'Fiction']"
427,"['Literature', 'Fiction', 'Action', 'Adventure']"
434,"['Literature', 'Fiction', 'Action', 'Adventure']"
435,"['Literature', 'Fiction']"
468,"['Literature', 'Fiction', 'Contemporary']"
481,"['Christian', 'Bibles', 'Theology']"
490,"['Literature', 'Fiction', 'Contemporary']"
526,['History']
568,"['Literature', 'Fiction']"
586,"['Science', 'Fiction', 'Fantasy']"
599,"['Science', 'Fiction', 'Fantasy']"
632,"['Science', 'Fiction', 'Fantasy']"
649,"['Mystery', 'Thriller', 'Suspense']"
656,"['Literature', 'Fiction']"
668,"['Literature', 'Fiction']"
703,"['Literature', 'Fiction', 'Contemporary']"
709,"['Literature', 'Fiction', 'Action', 'Adventure']"
720,"['Literature', 'Fiction']"
721,"['Literature', 'Fiction']"
736,"['Literature', 'Fiction', 'Contemporary']"
764,"['Literature', 'Fiction']"
770,"['Literature', 'Fiction', 'Classics']"
778,"['Literature', 'Fiction', 'Classics']"
783,"['Reference', 'Writing', 'Research', 'Publishing', 'Guides']"
784,"['Politics', 'Social', 'Sciences', 'Government']"
792,"['Literature', 'Fiction', 'Contemporary']"
812,"['Literature', 'Fiction', 'Contemporary']"
835,"['Teen', 'Young', 'Adult']"
837,"['Childrens', 'Literature', 'Fiction']"
846,"['Reference', 'Writing', 'Research', 'Publishing', 'Guides']"
911,"['Literature', 'Fiction', 'Action', 'Adventure']"
929,"['Science', 'Fiction', 'Fantasy']"
930,"['Childrens', 'Classics']"
955,"['Biographies', 'Memoirs']"
959,"['Mystery', 'Thriller', 'Suspense']"
969,"['Literature', 'Fiction', 'Classics']"
993,"['Literature', 'Fiction', 'Classics']"
1009,"['Mystery', 'Thriller', 'Suspense']"
1022,"['Literature', 'Fiction']"
1036,"['Mystery', 'Thriller', 'Suspense']"
1039,"['Science', 'Math', 'Biological', 'Sciences']"
1040,"['Mystery', 'Thriller', 'Suspense']"
1056,"['Childrens', 'Animals']"
1070,"['Childrens', 'Action', 'Adventure']"
1075,"['Teen', 'Young', 'Adult']"
1097,"['Literature', 'Fiction']"
1104,"['Literature', 'Fiction']"
1124,"['Literature', 'Fiction', 'Contemporary']"
1139,"['Science', 'Fiction', 'Fantasy']"
1171,"['Literature', 'Fiction']"
1198,"['Literature', 'Fiction']"
1200,"['Literature', 'Fiction']"
1216,"['Childrens', 'Literature', 'Fiction']"
1236,[]
1240,"['Literature', 'Fiction']"
1254,"['Biographies', 'Memoirs', 'Specific', 'Groups']"
1256,"['Literature', 'Fiction', 'Action', 'Adventure']"
1264,"['Childrens', 'Literature', 'Fiction']"
1268,"['Literature', 'Fiction']"
1272,['Childrens']
1281,"['Childrens', 'Classics']"
1289,"['Literature', 'Fiction']"
1293,"['Literature', 'Fiction', 'Contemporary']"
1331,['Childrens']
1343,"['Literature', 'Fiction']"
1345,"['Literature', 'Fiction', 'Literary']"
1357,"['Literature', 'Fiction']"
1360,"['Mystery', 'Thriller', 'Suspense']"
1369,"['Mystery', 'Thriller', 'Suspense']"
1380,"['Literature', 'Fiction']"
1381,"['Childrens', 'Literature', 'Fiction']"
1393,"['Literature', 'Fiction', 'British', 'Irish']"
1406,"['Engineering', 'Transportation']"
1409,"['Literature', 'Fiction', 'Contemporary']"
1430,"['Literature', 'Fiction']"
1433,[]
1446,"['Literature', 'Fiction', 'Contemporary']"
1460,"['Literature', 'Fiction']"
1475,"['Literature', 'Fiction']"
1494,[]
1502,[]
1507,"['Literature', 'Fiction', 'Action', 'Adventure']"
1510,"['Literature', 'Fiction', 'Contemporary']"
1525,"['Politics', 'Social', 'Sciences', 'Government']"
1532,[]
1582,[]
1588,['Childrens']
1615,"['Mystery', 'Thriller', 'Suspense']"
1621,[]
1622,[]
1625,[]
1632,"['Literature', 'Fiction', 'Contemporary']"
1672,[]
1674,[]
1686,[]
1706,[]
1726,"['Literature', 'Fiction']"
1739,[]
1748,"['Literature', 'Fiction']"
1751,"['Literature', 'Fiction', 'Action', 'Adventure']"
1761,"['Literature', 'Fiction']"
1774,[]
1779,"['Literature', 'Fiction']"
1801,[]
1810,[]
1812,"['Parenting', 'Relationships', 'Family']"
1821,"['Literature', 'Fiction']"
1829,[]
1834,[]
1839,"['Mystery', 'Thriller', 'Suspense']"
1841,"['Literature', 'Fiction']"
1842,[]
1845,[]
1849,[]
1860,[]
1863,"['Science', 'Math', 'Nature', 'Ecology']"
1866,"['Literature', 'Fiction']"
1880,[]
1887,[]
1888,"['Mystery', 'Thriller', 'Suspense']"
1904,[]
1906,[]
1915,"['Science', 'Fiction', 'Fantasy']"
1916,"['Literature', 'Fiction', 'Action', 'Adventure']"
1928,"['Literature', 'Fiction']"
1929,"['Literature', 'Fiction', 'Classics']"
1956,"['Literature', 'Fiction']"
1957,[]
1959,"['Biographies', 'Memoirs', 'Leaders', 'Notable', 'People']"
1961,"['Teen', 'Young', 'Adult', 'Literature', 'Fiction']"
1970,"['Literature', 'Fiction']"
1978,"['Teen', 'Young', 'Adult', 'Literature', 'Fiction']"
1979,"['Teen', 'Young', 'Adult', 'Literature', 'Fiction']"
1981,"['Teen', 'Young', 'Adult', 'Science', 'Fiction', 'Fantasy']"
